geo_id,year,deped_id,total_teacher_male,total_teacher_female,total_teachers,total_student_male,total_student_female,total_student_enrollment
HND-002612,2011,32100008,,,,45,31,76
HND-002613,2009,32100009,,,,42,34,76
HND-002613,2010,32100009,1,2,3,22,22,44
HND-002613,2011,32100009,,,,40,34,74
HND-002614,2009,32100010,,,,52,48,100
HND-002614,2010,32100010,1,2,3,29,19,48
HND-002614,2011,32100010,,,,58,43,101
HND-002615,2009,32100011,,,,47,64,111
HND-002615,2010,32100011,0,5,5,19,11,30
HND-002615,2011,32100011,,,,47,67,114
HND-002616,2009,32100012,,,,27,20,47
HND-002616,2010,32100012,1,1,2,22,22,44
HND-002616,2011,32100012,,,,36,31,67
HND-002617,2009,32100013,,,,37,44,81
HND-002617,2010,32100013,2,0,2,14,15,29
HND-002617,2011,32100013,,,,39,37,76
HND-002618,2009,32100014,,,,162,181,343
HND-002618,2010,32100014,3,8,11,24,23,47
HND-002618,2011,32100014,,,,140,165,305
HND-002619,2009,32100015,,,,38,24,62
HND-002619,2010,32100015,2,0,2,19,25,44
HND-002619,2011,32100015,,,,36,24,60
HND-002620,2009,32100016,,,,59,64,123
HND-002620,2010,32100016,1,2,3,17,23,40
HND-002620,2011,32100016,,,,53,61,114
HND-002621,2009,32100017,,,,24,37,61
HND-002621,2010,32100017,2,0,2,6,3,9
HND-002621,2011,32100017,,,,22,39,61
HND-002622,2009,32100018,,,,21,32,53
HND-002622,2010,32100018,0,2,2,22,31,53
HND-002622,2011,32100018,,,,22,35,57
HND-002623,2009,32100019,,,,16,19,35
HND-002623,2010,32100019,1,0,1,25,23,48
HND-002623,2011,32100019,,,,19,18,37
HND-002624,2009,32100020,,,,38,41,79
HND-002624,2010,32100020,2,0,2,18,6,24
HND-002624,2011,32100020,,,,36,38,74
HND-002625,2009,32100021,,,,52,49,101
HND-002625,2010,32100021,1,2,3,7,8,15
HND-002625,2011,32100021,,,,40,44,84
HND-002626,2009,32100022,,,,30,18,48
HND-002626,2010,32100022,0,1,1,37,35,72
HND-002626,2011,32100022,,,,26,14,40
HND-002627,2009,32100023,,,,22,23,45
HND-002627,2010,32100023,1,0,1,48,46,94
HND-002627,2011,32100023,,,,21,25,46
HND-002628,2009,32100024,,,,38,44,82
HND-002628,2010,32100024,1,1,2,11,9,20
HND-002628,2011,32100024,,,,34,41,75
